url,page_type,subtype,priority,estimated_rank,phase_id,phase_label,top_action,actions
https://simplyenak.com/custom-tours,supporting,page:custom-tours,0.7,52,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/stories,supporting,blog-index,0.7,52,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/get-best-food-experience-simply-enak,supporting,other:get-best-food-experience-simply-enak,0.7,52,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/directions,supporting,page:directions,0.6,61,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/privacy-policy,utility,utility:privacy-policy,0.4,100,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/terms-conditions,utility,utility:terms-conditions,0.4,100,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/thank-you,utility,utility:thank-you,0.3,100,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/thank-you-contact,utility,utility:thank-you-contact,0.3,100,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/thank-you-booking,utility,utility:thank-you-booking,0.3,100,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/thank-you-booking-kuala-lumpur,utility,utility:thank-you-booking-kuala-lumpur,0.3,100,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/thank-you-booking-penang,utility,utility:thank-you-booking-penang,0.3,100,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/thank-you-inquiry,utility,utility:thank-you-inquiry,0.3,100,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/kuala-lumpur-food-tour,supporting,other:kuala-lumpur-food-tour,0.9,12,3,Authority (Position 10–20),Acquire contextual backlinks from travel bloggers / food sites,"Acquire contextual backlinks from travel bloggers / food sites
Submit to relevant directories (TripAdvisor, Google Business Profile)
Share on social media with structured hashtags
Earn mentions through HARO / guest posting in food-travel niche
Build links from colony pages → this commercial page"
https://simplyenak.com/kuala-lumpur-food-tour,supporting,other:kuala-lumpur-food-tour,0.9,12,3,Authority (Position 10–20),Acquire contextual backlinks from travel bloggers / food sites,"Acquire contextual backlinks from travel bloggers / food sites
Submit to relevant directories (TripAdvisor, Google Business Profile)
Share on social media with structured hashtags
Earn mentions through HARO / guest posting in food-travel niche
Build links from colony pages → this commercial page"
https://simplyenak.com/contact,supporting,page:contact,0.8,6,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
https://simplyenak.com/about,supporting,page:about,0.8,8,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
https://simplyenak.com/,homepage,homepage,1.0,3,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/tours,supporting,page:tours,0.9,5,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
