url,page_type,subtype,priority,gsc_position,estimated_rank,phase_id,phase_label,top_action,actions
https://simplyenak.com,homepage,homepage,0.5,0,3,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/tours,supporting,page:tours,0.5,0,5,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/contact,supporting,page:contact,0.5,0,6,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
https://simplyenak.com/about,supporting,page:about,0.5,0,8,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
https://simplyenak.com/stories/11-foods-to-try-during-hari-raya,blog,blog:11-foods-to-try-during-hari-raya,0.5,0,55,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/stories/borneo-indigenous-food-culture,blog,blog:borneo-indigenous-food-culture,0.5,0,55,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/stories/chinese-dumpling-festival,blog,blog:chinese-dumpling-festival,0.5,0,55,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/stories/do-malaysians-speak-english,blog,blog:do-malaysians-speak-english,0.5,0,55,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/stories/dog-meat,blog,blog:dog-meat,0.5,0,55,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/stories/durian-guide-2026,blog,blog:durian-guide-2026,0.5,0,55,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/stories/eating-durians,blog,blog:eating-durians,0.5,0,55,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/stories/food-safety,blog,blog:food-safety,0.5,0,55,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/stories/hidden-gems-in-kuala-lumpur,blog,blog:hidden-gems-in-kuala-lumpur,0.5,0,55,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
