page,impressions,clicks,ctr,position,top_query,top_query_impressions,top_query_position,bucket
https://simplyenak.com/tours/locations/food-tours-penang,1344,37,2.75,10.0,penang food tour,146,7.6,CLICKS_LEAK
https://simplyenak.com/stories/port-klang-to-kuala-lumpur,2557,36,1.41,7.8,port klang to kuala lumpur,286,6.7,CLICKS_LEAK
https://simplyenak.com/stories/eating-durians,13133,22,0.17,10.5,durian,594,8.1,CLICKS_LEAK
https://simplyenak.com/tours/locations/food-tours-kuala-lumpur,1343,18,1.34,13.2,food tour kuala lumpur,165,19.5,CLICKS_LEAK
https://simplyenak.com/nl/stories/durian-season-malaysia,1106,16,1.45,6.1,durian season malaysia 2026,41,4.3,CLICKS_LEAK
https://simplyenak.com/stories/must-try-malaysian-street-food,3952,16,0.4,10.2,food,493,10.3,CLICKS_LEAK
https://simplyenak.com/stories/malaysian-kueh-sweets-guide,1375,14,1.02,8.6,kuih in english,27,3.3,CLICKS_LEAK
https://simplyenak.com/stories/gluten-free-guide-kuala-lumpur,627,13,2.07,8.2,gluten free food,50,7.8,CLICKS_LEAK
https://simplyenak.com/tours/penang-street-food,514,13,2.53,12.0,simply enak,176,1.5,CLICKS_LEAK
https://simplyenak.com/nl/stories/durian-season-malaysia/,817,12,1.47,5.6,durian season in malaysia,60,4.3,CLICKS_LEAK
https://simplyenak.com/stories/dog-meat,1648,11,0.67,7.1,dog meat,20,8.5,CLICKS_LEAK
https://simplyenak.com/tours/locations/kampung-baru-food-tour,1394,10,0.72,8.0,kampung baru street food,499,7.2,CLICKS_LEAK
https://simplyenak.com/tours/georgetown-night-food-durian,720,9,1.25,8.7,hawker centre georgetown,15,7.7,CLICKS_LEAK
https://simplyenak.com/fr/stories/durian-season-malaysia,1098,6,0.55,6.1,durian season in malaysia,46,7.1,CLICKS_LEAK
https://simplyenak.com/stories/do-malaysians-speak-english,3721,6,0.16,7.4,do malaysians speak english,194,7.4,CLICKS_LEAK
https://simplyenak.com/tours,757,6,0.79,20.4,simply enak,179,1.4,CONTENT_GAP
https://simplyenak.com/stories/food-guide-chow-kit,309,5,1.62,7.8,grab-and-go chow kit kuala lumpur,20,26.4,CLICKS_LEAK
https://simplyenak.com/stories/gluten-free-guide-penang,417,4,0.96,4.9,is kway teow gluten free,28,5.0,TITLE_FIX
https://simplyenak.com/stories/malaysian-chefs-local-cuisine,418,4,0.96,7.5,malaysia dining scene international chefs,221,6.2,CLICKS_LEAK
https://simplyenak.com/fr/stories/malaysia-durian-guide,582,2,0.34,11.2,durian malaysia,35,40.2,CLICKS_LEAK
https://simplyenak.com/stories/durian-guide-2026,1022,2,0.2,12.7,durian season malaysia 2026,43,3.5,CLICKS_LEAK
https://simplyenak.com/stories/eating-durians/,2591,2,0.08,13.5,durian,245,10.8,CLICKS_LEAK
https://simplyenak.com/stories/faq-when-is-durian-season-in-malaysia,216,2,0.93,10.2,durian season in malaysia,10,12,CLICKS_LEAK
https://simplyenak.com/tours/kuala-lumpur-street-food,598,2,0.33,13.4,meals on the street by addin kuala lumpur,97,10.6,CLICKS_LEAK
https://simplyenak.com/tours/locations/pudu-food-tour-kuala-lumpur,285,2,0.7,10.8,pudu hawker centre,22,10.0,CLICKS_LEAK
https://simplyenak.com/contact,231,1,0.43,1.9,simply enak,156,1.1,TITLE_FIX
https://simplyenak.com/ms/stories/durian-season-malaysia,219,1,0.46,7.2,musim durian di malaysia,24,6.6,CLICKS_LEAK
https://simplyenak.com/stories/durian-season-malaysia,205,1,0.49,6.9,durian season in malaysia,17,8.4,CLICKS_LEAK
https://simplyenak.com/stories/malaysia-durian-guide,605,1,0.17,15.8,durian malaysia,34,35.7,CLICKS_LEAK
https://simplyenak.com/stories/malaysian-egg-dishes-cooking-methods,282,1,0.35,8.2,telur bistik in english,9,9.8,CLICKS_LEAK
https://simplyenak.com/stories/traveling-during-fasting-month,245,1,0.41,12.3,malaysia during ramadan,2,22,CLICKS_LEAK
https://simplyenak.com/tours/locations/gurney-drive-food-tour,358,1,0.28,12.5,gurney drive penang street food,82,9.5,CLICKS_LEAK
https://simplyenak.com/about,239,0,0,2.9,simply enak,151,1.1,TITLE_FIX
https://simplyenak.com/directions,339,0,0,22.8,simply enak kangar jaya,124,9.9,CONTENT_GAP
https://simplyenak.com/stories/chinese-dumpling-festival,363,0,0,10.8,bak chang festival,14,14.4,CLICKS_LEAK
https://simplyenak.com/stories/durian-guide-malaysia,271,0,0,17.4,durian malaysia,6,74.8,CLICKS_LEAK
https://simplyenak.com/tours/flavours-of-malaysia-off-the-beaten-track/,226,0,0,5.7,kedai tomyam near me,71,5.2,CLICKS_LEAK
