query,position,impressions,clicks,ctr,search_volume,keyword_difficulty,cpc,intent,opportunity_score
durian,9.9,880,1,0.11,0,,,unknown,88.8
simply enak kangar jaya,8.8,280,0,0,0,,,unknown,31.8
durian season in malaysia,8.8,228,1,0.44,0,,,unknown,25.8
durian season,6.5,154,0,0,0,,,unknown,23.7
penang food tours,8.9,179,1,0.56,0,,,unknown,20.0
do malaysians speak english,8.1,153,0,0,0,,,unknown,18.9
kampung baru street food,7.8,133,0,0,0,,,unknown,17.1
does malaysia speak english,8.2,139,0,0,0,,,unknown,17.0
port klang to kuala lumpur,7.8,127,1,0.79,0,,,unknown,16.2
malaysian durian,9.3,147,0,0,0,,,unknown,15.8
malaysia food tours,14.3,221,0,0,0,,,unknown,15.5
food tour kuala lumpur,16.7,226,2,0.88,0,,,unknown,13.4
do they speak english in malaysia,8.3,111,0,0,0,,,unknown,13.4
durian malaysia,12.1,162,1,0.62,0,,,unknown,13.3
kampung baru food,9.0,119,0,0,0,,,unknown,13.2
simply enak @ kangar jaya menu,8.5,106,0,0,0,,,unknown,12.5
