url,page_type,subtype,priority,gsc_position,estimated_rank,phase_id,phase_label,top_action,actions
https://simplyenak.com/terms-conditions,utility,utility:terms-conditions,0.4,1,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/tours,supporting,page:tours,0.9,1.3,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/contact,supporting,page:contact,0.8,1.7,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/about,supporting,page:about,0.8,2.0,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/directions,supporting,page:directions,0.6,4.5,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/stories,supporting,blog-index,0.7,11,,3,Authority (Position 10–20),Acquire contextual backlinks from travel bloggers / food sites,"Acquire contextual backlinks from travel bloggers / food sites
Submit to relevant directories (TripAdvisor, Google Business Profile)
Share on social media with structured hashtags
Earn mentions through HARO / guest posting in food-travel niche
Build links from colony pages → this commercial page"
https://simplyenak.com/,homepage,homepage,1.0,14.2,,3,Authority (Position 10–20),Acquire contextual backlinks from travel bloggers / food sites,"Acquire contextual backlinks from travel bloggers / food sites
Submit to relevant directories (TripAdvisor, Google Business Profile)
Share on social media with structured hashtags
Earn mentions through HARO / guest posting in food-travel niche
Build links from colony pages → this commercial page"
https://simplyenak.com/kuala-lumpur-food-tour,supporting,other:kuala-lumpur-food-tour,0.9,,34,2,Enrichment (Position 20–50),Expand body content to 1500–2500 words targeting secondary keywords,"Expand body content to 1500–2500 words targeting secondary keywords
Add FAQ section with schema markup (target PAA boxes)
Add related internal links (3–5 contextual links to tours/pages)
Improve readability: shorter paragraphs, bullet points, tables
Add multimedia: images with alt text, optional video"
https://simplyenak.com/kuala-lumpur-food-tour,supporting,other:kuala-lumpur-food-tour,0.9,,34,2,Enrichment (Position 20–50),Expand body content to 1500–2500 words targeting secondary keywords,"Expand body content to 1500–2500 words targeting secondary keywords
Add FAQ section with schema markup (target PAA boxes)
Add related internal links (3–5 contextual links to tours/pages)
Improve readability: shorter paragraphs, bullet points, tables
Add multimedia: images with alt text, optional video"
https://simplyenak.com/custom-tours,supporting,page:custom-tours,0.7,,52,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
https://simplyenak.com/get-best-food-experience-simply-enak,supporting,other:get-best-food-experience-simply-enak,0.7,,52,1,Foundation (Position 50+ / Unranked),"Set unique, keyword-rich title tags (<60 chars)","Set unique, keyword-rich title tags (<60 chars)
Write compelling meta descriptions (150–160 chars)
Add proper heading hierarchy (H1 → H2 → H3)
Ensure page is indexable (no noindex, no canonical issues)
Add Open Graph and Twitter card meta tags"
